name,state_id
Badgam,10
Bandipore,10
Baramula,10
Doda,10
Ganderbal,10
Jammu,10
Kargil,10
Kathua,10
Kishtwar,10
Kulgam,10
Kupwara,10
Leh,10
Pulwama,10
Punch,10
Rajouri,10
Ramban,10
Reasi,10
Samba,10
Shupiyan,10
Srinagar,10
Udhampur,10
,
,
Bokaro,11
Chatra,11
Deoghar,11
Dhanbad,11
Dumka,11
Garhwa,11
Giridih,11
Godda,11
Gumla,11
Hazaribagh,11
Jamtara,11
Khunti,11
Kodarma,11
Latehar,11
Lohardaga,11
Pakur,11
Palamu,11
Pashchimi Singhbhum,11
Purbi Singhbhum,11
Ramgarh,11
Ranchi,11
Sahibganj,11
Saraikela Kharsawan,11
Simdega,11
,
,
Bagalkot,12
Bangalore,12
Bangalore Rural,12
Belgaum,12
Bellary,12
Bidar,12
Bijapur,12
Chamarajanagar,12
Chikkaballapura,12
Chikmagalur,12
Chitradurga,12
Dakshina Kannada,12
Davanagere,12
Dharwad,12
Gadag,12
Gulbarga,12
Hassan,12
Haveri,12
Kodagu,12
Kolar,12
Koppal,12
Mandya,12
Mysore,12
Raichur,12
Ramanagara,12
Shimoga,12
Tumkur,12
Udupi,12
Uttara Kannada,12
Yadgir,12
,
,
Alappuzha,13
Ernakulam,13
Idukki,13
Kannur,13
Kasaragod,13
Kollam,13
Kottayam,13
Kozhikode,13
Malappuram,13
Palakkad,13
Pathanamthitta,13
Thiruvananthapuram,13
Thrissur,13
Wayanad,13
,
,
Alirajpur,14
Anuppur,14
Ashoknagar,14
Balaghat,14
Barwani,14
Betul,14
Bhind,14
Bhopal,14
Burhanpur,14
Chhatarpur,14
Chhindwara,14
Damoh,14
Datia,14
Dewas,14
Dhar,14
Dindori,14
Guna,14
Gwalior,14
Harda,14
Hoshangabad,14
Indore,14
Jabalpur,14
Jhabua,14
Katni,14
Khandwa,14
Khargone,14
Mandla,14
Mandsaur,14
Morena,14
Narsimhapur,14
Neemuch,14
Panna,14
Raisen,14
Rajgarh,14
Ratlam,14
Rewa,14
Sagar,14
Satna,14
Sehore,14
Seoni,14
Shahdol,14
Shajapur,14
Sheopur,14
Shivpuri,14
Sidhi,14
Singrauli,14
Tikamgarh,14
Ujjain,14
Umaria,14
Vidisha,14
,
,
Bishnupur,16
Chandel,16
Churachandpur,16
Imphal East,16
Imphal West,16
Senapati,16
Tamenglong,16
Thoubal,16
Ukhrul,16
,
,
East Garo Hills,17
East Khasi Hills,17
Jaintia Hills,17
Ribhoi,17
South Garo Hills,17
West Garo Hills,17
West Khasi Hills,17
,
Aizawl,18
Champhai,18
Kolasib,18
Lawngtlai,18
Lunglei,18
Mamit,18
Saiha,18
Serchhip,18
,
,
Dimapur,19
Kiphire,19
Kohima,19
Longleng,19
Mokokchung,19
Mon,19
Peren,19
Phek,19
Tuensang,19
Wokha,19
Zunheboto,
,
,
Anugul,20
Balangir,20
Baleshwar,20
Bargarh,20
Baudh,20
Bhadrak,20
Cuttack,20
Debagarh,20
Dhenkanal,20
Gajapati,20
Ganjam,20
Jagatsinghapur,20
Jajapur,20
Jharsuguda,20
Kalahandi,20
Kandhamal,20
Kendrapara,20
Kendujhar,20
Khordha,20
Koraput,20
Malkangiri,20
Mayurbhanj,20
Nabarangapur,20
Nayagarh,20
Nuapada,20
Puri,20
Rayagada,20
Sambalpur,20
Subarnapur,20
Sundargarh,20
,
Amritsar,21
Barnala,21
Bathinda,21
Faridkot,21
Fatehgarh Sahib,21
Firozpur,21
Gurdaspur,21
Hoshiarpur,21
Jalandhar,21
Kapurthala,21
Ludhiana,21
Mansa,21
Moga,21
Muktsar,21
Patiala,21
Rupnagar,21
Sahibzada Ajit Singh Nagar,21
Sangrur,21
Shahid Bhagat Singh Nagar,21
